date,area,n,strike_label,k,K,price_per_1,source
2009-10-30,EU,1,S0,0.0,1.0,0.2144,floor
2009-10-30,EU,1,S1,0.01,1.01,0.49520000000000003,floor
2009-10-30,EU,1,S2,0.02,1.02,1.0207,floor
2009-10-30,EU,1,SN1,-0.01,0.99,0.0883,floor
2009-11-30,EU,1,S0,0.0,1.0,0.18789999999999998,floor
2009-11-30,EU,1,S1,0.01,1.01,0.5121,floor
2009-11-30,EU,1,S2,0.02,1.02,1.1238,floor
2009-11-30,EU,1,SN1,-0.01,0.99,0.060700000000000004,floor
2009-12-31,EU,1,S0,0.0,1.0,0.1649,floor
2009-12-31,EU,1,S1,0.01,1.01,0.4334,floor
2009-12-31,EU,1,S2,0.02,1.02,0.9693,floor
2009-12-31,EU,1,SN1,-0.01,0.99,0.0584,floor
2010-01-29,EU,1,S0,0.0,1.0,0.182,floor
2010-01-29,EU,1,S1,0.01,1.01,0.46590000000000004,floor
2010-01-29,EU,1,S2,0.02,1.02,1.0162,floor
2010-01-29,EU,1,SN1,-0.01,0.99,0.0672,floor
2010-02-26,EU,1,S0,0.0,1.0,0.20079999999999998,floor
2010-02-26,EU,1,S1,0.01,1.01,0.5074000000000001,floor
2010-02-26,EU,1,S2,0.02,1.02,1.0816,floor
2010-02-26,EU,1,SN1,-0.01,0.99,0.0741,floor
2010-03-31,EU,1,S0,0.0,1.0,0.1485,floor
2010-03-31,EU,1,S1,0.01,1.01,0.4769,floor
2010-03-31,EU,1,S2,0.02,1.02,0.8875,floor
2010-03-31,EU,1,SN1,-0.01,0.99,0.0552,floor
2010-04-30,EU,1,S0,0.0,1.0,0.11019999999999999,floor
2010-04-30,EU,1,S1,0.01,1.01,0.2862,floor
2010-04-30,EU,1,S2,0.02,1.02,0.6839,floor
2010-04-30,EU,1,SN1,-0.01,0.99,0.12029999999999999,floor
2010-05-31,EU,1,S0,0.0,1.0,0.1753,floor
2010-05-31,EU,1,S1,0.01,1.01,0.39770000000000005,floor
2010-05-31,EU,1,S2,0.02,1.02,0.8422,floor
2010-05-31,EU,1,SN1,-0.01,0.99,0.0775,floor
2010-06-30,EU,1,S0,0.0,1.0,0.3013,floor
2010-06-30,EU,1,S1,0.01,1.01,0.5995,floor
2010-06-30,EU,1,S2,0.02,1.02,1.1196,floor
2010-06-30,EU,1,SN1,-0.01,0.99,0.14880000000000002,floor
2010-07-30,EU,1,S0,0.0,1.0,0.1788,floor
2010-07-30,EU,1,S1,0.01,1.01,0.4493,floor
2010-07-30,EU,1,S2,0.02,1.02,0.976,floor
2010-07-30,EU,1,SN1,-0.01,0.99,0.0659,floor
2010-08-31,EU,1,S0,0.0,1.0,0.18760000000000002,floor
2010-08-31,EU,1,S1,0.01,1.01,0.46869999999999995,floor
2010-08-31,EU,1,S2,0.02,1.02,1.0101,floor
2010-08-31,EU,1,SN1,-0.01,0.99,0.0693,floor
2010-09-30,EU,1,S0,0.0,1.0,0.1026,floor
2010-09-30,EU,1,S1,0.01,1.01,0.2836,floor
2010-09-30,EU,1,S2,0.02,1.02,0.6915,floor
2010-09-30,EU,1,SN1,-0.01,0.99,0.03535,floor
2010-10-29,EU,1,S0,0.0,1.0,0.1242,floor
2010-10-29,EU,1,S1,0.01,1.01,0.33354999999999996,floor
2010-10-29,EU,1,S2,0.02,1.02,0.7951,floor
2010-10-29,EU,1,SN1,-0.01,0.99,0.04485,floor
2010-11-30,EU,1,S0,0.0,1.0,0.0723,floor
2010-11-30,EU,1,S1,0.01,1.01,0.20350000000000001,floor
2010-11-30,EU,1,S2,0.02,1.02,0.5911,floor
2010-11-30,EU,1,SN1,-0.01,0.99,0.028399999999999998,floor
2010-12-31,EU,1,S0,0.0,1.0,0.0771,floor
2010-12-31,EU,1,S1,0.01,1.01,0.1898,floor
2010-12-31,EU,1,S2,0.02,1.02,0.4918,floor
2010-12-31,EU,1,SN1,-0.01,0.99,0.10289999999999999,floor
2011-01-31,EU,1,S0,0.0,1.0,0.0385,floor
2011-01-31,EU,1,S1,0.01,1.01,0.1168,floor
2011-01-31,EU,1,S2,0.02,1.02,0.366,floor
2011-01-31,EU,1,SN1,-0.01,0.99,0.01375,floor
2011-02-28,EU,1,S0,0.0,1.0,0.0091,floor
2011-02-28,EU,1,S1,0.01,1.01,0.037200000000000004,floor
2011-02-28,EU,1,S2,0.02,1.02,0.17679999999999998,floor
2011-02-28,EU,1,SN1,-0.01,0.99,0.0026,floor
2011-03-31,EU,1,S0,0.0,1.0,0.0031,floor
2011-03-31,EU,1,S1,0.01,1.01,0.009300000000000001,floor
2011-03-31,EU,1,S2,0.02,1.02,0.092,floor
2011-03-31,EU,1,SN1,-0.01,0.99,0.0191,floor
2011-04-29,EU,1,S0,0.0,1.0,0.0029010000000000004,floor
2011-04-29,EU,1,S1,0.01,1.01,0.014301,floor
2011-04-29,EU,1,S2,0.02,1.02,0.0868,floor
2011-04-29,EU,1,SN1,-0.01,0.99,0.0007009999999999999,floor
2011-05-31,EU,1,S0,0.0,1.0,0.011901,floor
2011-05-31,EU,1,S1,0.01,1.01,0.046401000000000005,floor
2011-05-31,EU,1,S2,0.02,1.02,0.2053,floor
2011-05-31,EU,1,SN1,-0.01,0.99,0.0036009999999999996,floor
2011-06-30,EU,1,S0,0.0,1.0,0.0464,floor
2011-06-30,EU,1,S1,0.01,1.01,0.1014,floor
2011-06-30,EU,1,S2,0.02,1.02,0.43435,floor
2011-06-30,EU,1,SN1,-0.01,0.99,0.006601,floor
2011-07-29,EU,1,S0,0.0,1.0,0.069,floor
2011-07-29,EU,1,S1,0.01,1.01,0.1456,floor
2011-07-29,EU,1,S2,0.02,1.02,0.5552,floor
2011-07-29,EU,1,SN1,-0.01,0.99,0.007201,floor
2011-08-31,EU,1,S0,0.0,1.0,0.049601,floor
2011-08-31,EU,1,S1,0.01,1.01,0.20370000000000002,floor
2011-08-31,EU,1,S2,0.02,1.02,0.7092,floor
2011-08-31,EU,1,SN1,-0.01,0.99,0.013801,floor
2011-09-30,EU,1,S0,0.0,1.0,0.0637,floor
2011-09-30,EU,1,S1,0.01,1.01,0.1783,floor
2011-09-30,EU,1,S2,0.02,1.02,0.5704,floor
2011-09-30,EU,1,SN1,-0.01,0.99,0.027801,floor
2011-10-31,EU,1,S0,0.0,1.0,0.059000000000000004,floor
2011-10-31,EU,1,S1,0.01,1.01,0.1562,floor
2011-10-31,EU,1,S2,0.02,1.02,0.4876,floor
2011-10-31,EU,1,SN1,-0.01,0.99,0.026301,floor
2011-11-30,EU,1,S0,0.0,1.0,0.0969,floor
2011-11-30,EU,1,S1,0.01,1.01,0.1943,floor
2011-11-30,EU,1,S2,0.02,1.02,0.46045,floor
