date,area,n,strike_label,k,K,price_per_1,source
2009-10-30,EU,1,S2,0.02,1.02,0.3222,cap
2009-10-30,EU,1,S3,0.03,1.03,0.10210000000000001,cap
2009-10-30,EU,1,S4,0.04,1.04,0.0278,cap
2009-10-30,EU,1,S5,0.05,1.05,0.0074,cap
2009-11-30,EU,1,S2,0.02,1.02,0.2138,cap
2009-11-30,EU,1,S3,0.03,1.03,0.0629,cap
2009-11-30,EU,1,S4,0.04,1.04,0.0173,cap
2009-11-30,EU,1,S5,0.05,1.05,0.0048,cap
2009-12-31,EU,1,S2,0.02,1.02,0.2895,cap
2009-12-31,EU,1,S3,0.03,1.03,0.0888,cap
2009-12-31,EU,1,S4,0.04,1.04,0.0245,cap
2009-12-31,EU,1,S5,0.05,1.05,0.0068000000000000005,cap
2010-01-29,EU,1,S2,0.02,1.02,0.3243,cap
2010-01-29,EU,1,S3,0.03,1.03,0.1208,cap
2010-01-29,EU,1,S4,0.04,1.04,0.0443,cap
2010-01-29,EU,1,S5,0.05,1.05,0.0171,cap
2010-02-26,EU,1,S2,0.02,1.02,0.30820000000000003,cap
2010-02-26,EU,1,S3,0.03,1.03,0.11720000000000001,cap
2010-02-26,EU,1,S4,0.04,1.04,0.0443,cap
2010-02-26,EU,1,S5,0.05,1.05,0.0176,cap
2010-03-31,EU,1,S2,0.02,1.02,0.3747,cap
2010-03-31,EU,1,S3,0.03,1.03,0.135,cap
2010-03-31,EU,1,S4,0.04,1.04,0.0467,cap
2010-03-31,EU,1,S5,0.05,1.05,0.0169,cap
2010-04-30,EU,1,S2,0.02,1.02,0.4853,cap
2010-04-30,EU,1,S3,0.03,1.03,0.17300000000000001,cap
2010-04-30,EU,1,S4,0.04,1.04,0.0556,cap
2010-04-30,EU,1,S5,0.05,1.05,0.0182,cap
2010-05-31,EU,1,S2,0.02,1.02,0.4252,cap
2010-05-31,EU,1,S3,0.03,1.03,0.1436,cap
2010-05-31,EU,1,S4,0.04,1.04,0.041299999999999996,cap
2010-05-31,EU,1,S5,0.05,1.05,0.011699999999999999,cap
2010-06-30,EU,1,S2,0.02,1.02,0.3713,cap
2010-06-30,EU,1,S3,0.03,1.03,0.2071,cap
2010-06-30,EU,1,S4,0.04,1.04,0.0385,cap
2010-06-30,EU,1,S5,0.05,1.05,0.0113,cap
2010-07-30,EU,1,S2,0.02,1.02,0.29100000000000004,cap
2010-07-30,EU,1,S3,0.03,1.03,0.083,cap
2010-07-30,EU,1,S4,0.04,1.04,0.019299999999999998,cap
2010-07-30,EU,1,S5,0.05,1.05,0.0042,cap
2010-08-31,EU,1,S2,0.02,1.02,0.2799,cap
2010-08-31,EU,1,S3,0.03,1.03,0.0791,cap
2010-08-31,EU,1,S4,0.04,1.04,0.0183,cap
2010-08-31,EU,1,S5,0.05,1.05,0.004,cap
